target,source,value
electricity,clothes_washer,463.346
electricity,clothes_washer,16071.77
electricity,cooling_fans_pumps,573761.354
electricity,cooling_fans_pumps,627469.575
electricity,cooling_fans_pumps,1234357.285
electricity,cooling_fans_pumps,631560.823
electricity,cooling_fans_pumps,11871444.16
electricity,cooling_fans_pumps,29373.635
electricity,cooling_fans_pumps,38016.3
electricity,cooling_fans_pumps,78957.448
electricity,cooling_fans_pumps,42145.677
electricity,cooling_fans_pumps,1016888.334
electricity,cooling_fans_pumps,187535.297
electricity,cooling_fans_pumps,127322.673
electricity,cooling_fans_pumps,176041.05
electricity,cooling_fans_pumps,73236.992
electricity,cooling_fans_pumps,2648535.131
electricity,cooling_fans_pumps,9964.124
electricity,cooling_fans_pumps,2340.465
electricity,cooling_fans_pumps,1201.005
electricity,cooling_fans_pumps,380.699
electricity,cooling_fans_pumps,41440.548
electricity,cooling_fans_pumps,101378.269
electricity,cooling_fans_pumps,57916.124
electricity,cooling_fans_pumps,148548.047
electricity,cooling_fans_pumps,76278.186
electricity,cooling_fans_pumps,1795664.936
electricity,cooling_fans_pumps,16174.884
electricity,cooling_fans_pumps,18181.539
electricity,cooling_fans_pumps,84001.497
electricity,cooling_fans_pumps,81899.879
electricity,cooling_fans_pumps,910744.732
electricity,cooling_fans_pumps,320119.762
electricity,cooling_fans_pumps,344880.749
electricity,cooling_fans_pumps,486166.813
electricity,cooling_fans_pumps,235011.041
electricity,cooling_fans_pumps,7233721.424
electricity,cooling_fans_pumps,27060.423
electricity,cooling_fans_pumps,4840.363
electricity,cooling_fans_pumps,8443.376
electricity,cooling_fans_pumps,4610.592
electricity,cooling_fans_pumps,87084.018
electricity,cooling_fans_pumps,224061.33
electricity,cooling_fans_pumps,342622.925
electricity,cooling_fans_pumps,392731.654
electricity,cooling_fans_pumps,453409.694
electricity,cooling_fans_pumps,4918913.375
electricity,cooling_fans_pumps,17233.166
electricity,cooling_fans_pumps,14607.832
electricity,cooling_fans_pumps,10472.308
electricity,cooling_fans_pumps,9216.792
electricity,cooling_fans_pumps,420267.139
electricity,cooling_fans_pumps,53303.767
electricity,cooling_fans_pumps,1025246.413
electricity,cooling_fans_pumps,1493806.079
electricity,cooling_fans_pumps,1196790.585
electricity,cooling_fans_pumps,5499708.11
electricity,cooling_fans_pumps,42713.355
electricity,cooling_fans_pumps,312382.118
electricity,cooling_fans_pumps,419182.17
electricity,cooling_fans_pumps,183646.259
electricity,cooling_fans_pumps,2894872.502
electricity,cooling_fans_pumps,14631.28
electricity,cooling_fans_pumps,13953.112
electricity,cooling_fans_pumps,14545.411
electricity,cooling_fans_pumps,14805.951
electricity,cooling_fans_pumps,368892.082
electricity,cooling_fans_pumps,669.961
electricity,cooling_fans_pumps,0
electricity,cooling_fans_pumps,0
electricity,cooling_fans_pumps,0
electricity,cooling_fans_pumps,3229.35
electricity,cooling_fans_pumps,147060.125
electricity,cooling_fans_pumps,62842.935
electricity,cooling_fans_pumps,125037.307
electricity,cooling_fans_pumps,19258.873
electricity,cooling_fans_pumps,1589972.388
electricity,cooling_fans_pumps,454969.972
electricity,cooling_fans_pumps,113527.822
electricity,cooling_fans_pumps,158529.186
electricity,cooling_fans_pumps,26238.067
electricity,cooling_fans_pumps,2921586.222
electricity,cooling_fans_pumps,867755.024
electricity,cooling_fans_pumps,360417.341
electricity,cooling_fans_pumps,528895.099
electricity,cooling_fans_pumps,120039.57
electricity,cooling_fans_pumps,8048869.017
electricity,cooling_fans_pumps,851510.366
electricity,cooling_fans_pumps,453602.812
electricity,cooling_fans_pumps,638140.563
electricity,cooling_fans_pumps,240128.371
electricity,cooling_fans_pumps,8412591.869
electricity,cooling_fans_pumps,83394.837
electricity,cooling_fans_pumps,9743.735
electricity,cooling_fans_pumps,21469.214
electricity,cooling_fans_pumps,11220.812
electricity,cooling_fans_pumps,437389.812
electricity,cooling_fans_pumps,187036.783
electricity,cooling_fans_pumps,392410.149
electricity,cooling_fans_pumps,1865309.145
electricity,cooling_fans_pumps,733722.755
electricity,cooling_fans_pumps,5491577.144
electricity,cooling_fans_pumps,2807977.813
electricity,cooling_fans_pumps,1356276.066
electricity,cooling_fans_pumps,3139758.305
electricity,cooling_fans_pumps,1473770.58
electricity,cooling_fans_pumps,25231254.52
electricity,cooling_fans_pumps,643839.33
electricity,cooling_fans_pumps,178284.502
electricity,cooling_fans_pumps,315088.321
electricity,cooling_fans_pumps,144243.714
electricity,cooling_fans_pumps,3816245.455
electricity,cooling_fans_pumps,1589379.51
electricity,cooling_fans_pumps,593140.386
electricity,cooling_fans_pumps,1440014.354
electricity,cooling_fans_pumps,579283.698
electricity,cooling_fans_pumps,16859915.03
electricity,cooling_fans_pumps,1087586.455
electricity,cooling_fans_pumps,496018.1
electricity,cooling_fans_pumps,1776127.018
electricity,cooling_fans_pumps,1775018.636
electricity,cooling_fans_pumps,15412810.4
electricity,cooling_fans_pumps,144144.376
electricity,cooling_fans_pumps,114460.667
electricity,cooling_fans_pumps,133980.953
electricity,cooling_fans_pumps,53005.127
electricity,cooling_fans_pumps,2265999.722
electricity,cooling_fans_pumps,1869373.459
electricity,cooling_fans_pumps,1079036.395
electricity,cooling_fans_pumps,2381450.371
electricity,cooling_fans_pumps,584086.53
electricity,cooling_fans_pumps,25086149.98
electricity,cooling_fans_pumps,103952.31
electricity,cooling_fans_pumps,42800.977
electricity,cooling_fans_pumps,41429.406
electricity,cooling_fans_pumps,15737.622
electricity,cooling_fans_pumps,678195.455
